;def;genes;proportion;significant_area;#_cases;#_controls;pvalue_proportion;pvalue_significant_area;fdr_sig_area;fdr_proportion
49;SNV;BRAF;0.4552;0.4418;66;405;2,18E+07;0.000158215016339941;0.0350729901210848;0.00495939584331995
3;SNV;TP53;0.429;0.4348;276;195;8,89E+08;0.000199047469101556;0.0350729901210848;0.00495939584331995
77;SNV;KMT2B;0.4264;0.4314;59;412;1,02E+09;0.00022226037612646;0.0350729901210848;0.00495939584331995
144;SNV;KIAA1456;0.424;0.4263;50;421;1,16E+09;0.000261870415189249;0.0350729901210848;0.00495939584331995
1;SNV;APC;0.4165;0.4228;358;113;1,72E+09;0.000292772915564783;0.0350729901210848;0.00495939584331995
137;SNV;TET2;0.4084;0.4156;51;420;2,62E+09;0.000367359165025665;0.0350729901210848;0.00495939584331995
45;SNV;KMT2D;0.4258;0.4115;68;403;1,05E+09;0.000417411421991525;0.0350729901210848;0.00495939584331995
241;SNV;DNAH6;0.404;0.4093;44;427;3,28E+09;0.000446825722824029;0.0350729901210848;0.00495939584331995
352;SNV;RIF1;0.3922;0.4076;40;431;6,00E+09;0.000470868119908746;0.0350729901210848;0.00495939584331995
60;SNV;ZFHX3;0.4036;0.4054;63;408;3,35E+09;0.000503775698544118;0.0350729901210848;0.00495939584331995
400;SNV;CHD9;0.4016;0.4033;38;433;3,71E+09;0.000537178257803601;0.0350729901210848;0.00495939584331995
1474;SNV;MROH1;0.3952;0.4032;25;446;5,15E+09;0.000538819263089034;0.0350729901210848;0.00495939584331995
81;SNV;DNAH3;0.4029;0.4009;58;413;3,47E+09;0.000577878047462728;0.0350729901210848;0.00495939584331995
357;SNV;WDR33;0.3969;0.4005;40;431;4,72E+09;0.000584934672302705;0.0350729901210848;0.00495939584331995
53;SNV;MUC5B;0.3979;0.398;65;406;4,49E+09;0.000630891514339495;0.0350729901210848;0.00495939584331995
562;SNV;GCN1L1;0.4028;0.3976;34;437;3,49E+09;0.000638549697262861;0.0350729901210848;0.00495939584331995
61;SNV;ANK3;0.4041;0.3975;62;409;3,27E+09;0.000640477737913192;0.0350729901210848;0.00495939584331995
479;SNV;ITPR3;0.3858;0.3971;36;435;8,29E+09;0.000648244302033912;0.0350729901210848;0.00495939584331995
486;SNV;MYO18A;0.3962;0.3967;36;435;4,89E+08;0.000656098588729617;0.0350729901210848;0.00495939584331995
97;SNV;LRP1;0.405;0.3961;55;416;3,12E+09;0.000668046499986392;0.0350729901210848;0.00495939584331995
71;SNV;DNAH2;0.3978;0.3953;60;411;4,51E+09;0.000684292679249459;0.0350729901210848;0.00495939584331995
33;SNV;MACF1;0.3962;0.393;74;397;4,89E+08;0.000733075006324437;0.0350729901210848;0.00495939584331995
507;SNV;CELSR3;0.3893;0.393;35;436;6,95E+09;0.000733075006324437;0.0350729901210848;0.00495939584331995
